"
PLS_BOM_Reports / BOM components 2
Organization Code Parameter: 'PLS, MST', Assembly Item Parameter: '02%'"

"Assembly Number","Assembly Description","Assembly Hebrew Description","Assembly Status Code","ORG","Bom Name","Component Number","Component Description","Component Hebrew Description","Component Status Code","Component Quantity"
"","","","","","","02340001","WING NUT  1/4""","בורג פרפר  ""1/4","Active",4
"","","","","","","02310054","SPRING WASHER 8MM","שייבה קפיצית  8מ""מ","Active",8
"","","","","","","02340172","FIX. TROUGHT SUPPORT FOR  HOPPER/MINI-HOPPER TWO LINES W/O TRACTION SET","FIX. TROUGHT SUPPORT FOR  HOPPER/MINI-HOPPER TWO LINES W/O TRACTION SET","Active",2
"","","","","","","02340173","DOUBLE FEED LEVEL PLATE HOPPER/MINI-HOPPER W/O TRACTION SET","DOUBLE FEED LEVEL PLATE HOPPER/MINI-HOPPER W/O TRACTION SET","Active",2
"","","","","","","02340174","MINI-HOPPER REINFORC W/O TRACTION SET","MINI-HOPPER REINFORC W/O TRACTION SET","Active",2
"","","","","","","02340175","CARRIAGE BOLT 1/4X3/4"" BICROM.","CARRIAGE BOLT 1/4X3/4"" BICROM.","Active",4
"","","","","","","02340176","BOLT HEXAGONAL HEAD 5/16""X3/4"" ZINC.","BOLT HEXAGONAL HEAD 5/16""X3/4"" ZINC.","Active",8
"","","","","","","02340178","TWO LINE MINI-HOPPER PANEL W/O TRACTION SET","TWO LINE MINI-HOPPER PANEL W/O TRACTION SET","Active",2
"","","","","","","02340181","HOPPER/MINI-HOPPER LEG INSIDE GUIDE W/O TRACTION SET","HOPPER/MINI-HOPPER LEG INSIDE GUIDE W/O TRACTION SET","Active",4
"","","","","","","02340182","TWO LINE MINI-HOPPER LOWER W/O TRACTION SET","TWO LINE MINI-HOPPER LOWER W/O TRACTION SET","Active",1
"","","","","","","02340161","LEG SET HOPPER/MINI-HOPPER W/O TRACTION SET","LEG SET HOPPER/MINI-HOPPER W/O TRACTION SET","Active",4
"","","","","","","02340566","SINGLE RIGHT FEED RETURN WHEEL SET FOR HOPPER/MINI-HOPPER W/O TRACTION (MODEL PLAST.) SET","SINGLE RIGHT FEED RETURN WHEEL SET FOR HOPPER/MINI-HOPPER W/O TRACTION (MODEL PLAST.) SET","Active",2
"","","","","","","02340569","SIDE W/ COVER SET TWO LINE MINI-HOPPER W/O TRACTION SET","SIDE W/ COVER SET TWO LINE MINI-HOPPER W/O TRACTION SET","Active",2
"","","","","","","02340524","DIVISION PLATE W/ COVER SET FOR MINI-HOPPER 2C/SO W/O TRACTION SET","DIVISION PLATE W/ COVER SET FOR MINI-HOPPER 2C/SO W/O TRACTION SET","Active",1
"","","","","","","02340568","HANDLER SET FOR ONE LINE MINI-HOPPER W/O TRACTION SET","HANDLER SET FOR ONE LINE MINI-HOPPER W/O TRACTION SET","Active",2
"","","","","PLS","Primary","02340091","LABEL PVC STICKER IDENTIFICATION LEVEL","מדבקת זיהוי מאביס שרשרת אוטומטי","Active",2
"","","","","","","02340087","IDENTIFICATION HOPPER PLATE","מדבקת זיהוי להופר שרשרת","Inactive",1
"","","","","","","02340043","NUT 1/4""(8.8)","אום משושה 1/4""(8.8)","Inactive",8
"","","","","","","02340042","SCREW 1/4"" × 1/2"" (8.8)","בורג ""1/4×""1/2 (8.8)","Inactive",8
"","","","","","","02340032","NUT 5/16""","אום 5/16""","Inactive",8
"","","","","","","02340021","BOLT HEXAGONAL HEAD 1/4""-1/2""","בורג משושה ""1/2-1/4","Inactive",68
"","","","","","","02340005","SPRING  WASHER 1/4""","שייבה קפיצית  1/4""","Inactive",75
"","","","","","","02340004","NUT  1/4""","אום  משושה ""1/4","Inactive",68
"","","","","","","02340002","FLAT WASHER 1/4""","שייבה שטוחה ""1/4","Active",4
"","","","","","","02340001","WING NUT  1/4""","בורג פרפר  ""1/4","Inactive",4
"","","","","","","02310054","SPRING WASHER 8MM","שייבה קפיצית  8מ""מ","Active",8
"","","","","","","02340172","FIX. TROUGHT SUPPORT FOR  HOPPER/MINI-HOPPER TWO LINES W/O TRACTION SET","FIX. TROUGHT SUPPORT FOR  HOPPER/MINI-HOPPER TWO LINES W/O TRACTION SET","Active",2
"","","","","","","02340173","DOUBLE FEED LEVEL PLATE HOPPER/MINI-HOPPER W/O TRACTION SET","DOUBLE FEED LEVEL PLATE HOPPER/MINI-HOPPER W/O TRACTION SET","Active",2
"","","","","","","02340174","MINI-HOPPER REINFORC W/O TRACTION SET","MINI-HOPPER REINFORC W/O TRACTION SET","Active",2
"","","","","","","02340175","CARRIAGE BOLT 1/4X3/4"" BICROM.","CARRIAGE BOLT 1/4X3/4"" BICROM.","Active",4
"","","","","","","02340176","BOLT HEXAGONAL HEAD 5/16""X3/4"" ZINC.","BOLT HEXAGONAL HEAD 5/16""X3/4"" ZINC.","Active",8
"","","","","","","02340178","TWO LINE MINI-HOPPER PANEL W/O TRACTION SET","TWO LINE MINI-HOPPER PANEL W/O TRACTION SET","Active",2
"","","","","","","02340181","HOPPER/MINI-HOPPER LEG INSIDE GUIDE W/O TRACTION SET","HOPPER/MINI-HOPPER LEG INSIDE GUIDE W/O TRACTION SET","Active",4
"","","","","","","02340182","TWO LINE MINI-HOPPER LOWER W/O TRACTION SET","TWO LINE MINI-HOPPER LOWER W/O TRACTION SET","Active",1
"","","","","","","02340161","LEG SET HOPPER/MINI-HOPPER W/O TRACTION SET","LEG SET HOPPER/MINI-HOPPER W/O TRACTION SET","Active",4
"","","","","","","02340566","SINGLE RIGHT FEED RETURN WHEEL SET FOR HOPPER/MINI-HOPPER W/O TRACTION (MODEL PLAST.) SET","SINGLE RIGHT FEED RETURN WHEEL SET FOR HOPPER/MINI-HOPPER W/O TRACTION (MODEL PLAST.) SET","Active",2
"","","","","","","02340569","SIDE W/ COVER SET TWO LINE MINI-HOPPER W/O TRACTION SET","SIDE W/ COVER SET TWO LINE MINI-HOPPER W/O TRACTION SET","Active",2
"","","","","","","02340524","DIVISION PLATE W/ COVER SET FOR MINI-HOPPER 2C/SO W/O TRACTION SET","DIVISION PLATE W/ COVER SET FOR MINI-HOPPER 2C/SO W/O TRACTION SET","Active",1
"","","","","","","02340568","HANDLER SET FOR ONE LINE MINI-HOPPER W/O TRACTION SET","HANDLER SET FOR ONE LINE MINI-HOPPER W/O TRACTION SET","Active",2
"02340183","SINGLE RIGHT FEED RETURN WHEEL SET FOR HOPPER/MINI-HOPPER W/O TRACTION SET","SINGLE RIGHT FEED RETURN WHEEL SET FOR HOPPER/MINI-HOPPER W/O TRACTION SET","Active","MST","Primary","02340218","SINGLE RIGHT FEED RETURN WHEEL BODY FOR HOPPER/MINI-HOPPER W/O TRACTION SET","SINGLE RIGHT FEED RETURN WHEEL BODY FOR HOPPER/MINI-HOPPER W/O TRACTION SET","Active",1
"","","","","","","02340214","RETURN WHEEL","RETURN WHEEL","Active",1
"","","","","","","02340217","RETURN WHEEL SHAFT DIA. 19X102,5","RETURN WHEEL SHAFT DIA. 19X102,5","Active",1
"","","","","","","02320020","HEXAGONAL HEAD SCREW TOTAL THREAD 1/4""X3/4"" ZINC.","HEXAGONAL HEAD SCREW TOTAL THREAD 1/4""X3/4"" ZINC.","Active",1
"","","","","","","02340005","SPRING  WASHER 1/4""","שייבה קפיצית  1/4""","Active",2
"","","","","","","02340004","NUT  1/4""","אום  משושה ""1/4","Active",2
"","","","","PLS","Primary","02340218","SINGLE RIGHT FEED RETURN WHEEL BODY FOR HOPPER/MINI-HOPPER W/O TRACTION SET","SINGLE RIGHT FEED RETURN WHEEL BODY FOR HOPPER/MINI-HOPPER W/O TRACTION SET","Active",1
"","","","","","","02340214","RETURN WHEEL","RETURN WHEEL","Active",1
"","","","","","","02340217","RETURN WHEEL SHAFT DIA. 19X102,5","RETURN WHEEL SHAFT DIA. 19X102,5","Active",1
"","","","","","","02320020","HEXAGONAL HEAD SCREW TOTAL THREAD 1/4""X3/4"" ZINC.","HEXAGONAL HEAD SCREW TOTAL THREAD 1/4""X3/4"" ZINC.","Active",1
"","","","","","","02340005","SPRING  WASHER 1/4""","שייבה קפיצית  1/4""","Inactive",2
"","","","","","","02340004","NUT  1/4""","אום  משושה ""1/4","Inactive",2
"02340186","SINGLE LEFT FEED RETURN WHEEL SET FOR HOPPER/MINI-HOPPER W/O TRACTION SET","SINGLE LEFT FEED RETURN WHEEL SET FOR HOPPER/MINI-HOPPER W/O TRACTION SET","Active","MST","Primary","02340213","SINGLE LEFT FEED RETURN WHEEL BODY FOR HOPPER/MINI-HOPPER W/O TRACTION SET","SINGLE LEFT FEED RETURN WHEEL BODY FOR HOPPER/MINI-HOPPER W/O TRACTION SET","Active",1
"","","","","","","02340214","RETURN WHEEL","RETURN WHEEL","Active",1
"","","","","","","02340217","RETURN WHEEL SHAFT DIA. 19X102,5","RETURN WHEEL SHAFT DIA. 19X102,5","Active",1
"","","","","","","02320020","HEXAGONAL HEAD SCREW TOTAL THREAD 1/4""X3/4"" ZINC.","HEXAGONAL HEAD SCREW TOTAL THREAD 1/4""X3/4"" ZINC.","Active",1
"","","","","","","02340005","SPRING  WASHER 1/4""","שייבה קפיצית  1/4""","Active",2
"","","","","","","02340004","NUT  1/4""","אום  משושה ""1/4","Active",2
"","","","","PLS","Primary","02340213","SINGLE LEFT FEED RETURN WHEEL BODY FOR HOPPER/MINI-HOPPER W/O TRACTION SET","SINGLE LEFT FEED RETURN WHEEL BODY FOR HOPPER/MINI-HOPPER W/O TRACTION SET","Active",1
"","","","","","","02340214","RETURN WHEEL","RETURN WHEEL","Active",1
"","","","","","","02340217","RETURN WHEEL SHAFT DIA. 19X102,5","RETURN WHEEL SHAFT DIA. 19X102,5","Active",1
"","","","","","","02320020","HEXAGONAL HEAD SCREW TOTAL THREAD 1/4""X3/4"" ZINC.","HEXAGONAL HEAD SCREW TOTAL THREAD 1/4""X3/4"" ZINC.","Active",1
"","","","","","","02340005","SPRING  WASHER 1/4""","שייבה קפיצית  1/4""","Inactive",2
"","","","","","","02340004","NUT  1/4""","אום  משושה ""1/4","Inactive",2
"02340187","ONE LINE 20KG (30L) MINI-HOPPER BODY SET W/O TRACTION SET","ONE LINE 20KG (30L) MINI-HOPPER BODY SET W/O TRACTION SET","Active","MST","Primary","02340087","IDENTIFICATION HOPPER PLATE","מדבקת זיהוי להופר שרשרת","Active",1
"","","","","","","02340043","NUT 1/4""(8.8)","אום משושה 1/4""(8.8)","Active",8
"","","","","","","02340042","SCREW 1/4"" × 1/2"" (8.8)","בורג ""1/4×""1/2 (8.8)","Active",8
"","","","","","","02340032","NUT 5/16""","אום 5/16""","Active",8
"","","","","","","02340021","BOLT HEXAGONAL HEAD 1/4""-1/2""","בורג משושה ""1/2-1/4","Active",68
"","","","","","","02340005","SPRING  WASHER 1/4""","שייבה קפיצית  1/4""","Active",76
"","","","","","","02340004","NUT  1/4""","אום  משושה ""1/4","Active",68
"","","","","","","02340002","FLAT WASHER 1/4""","שייבה שטוחה ""1/4","Active",2
"","","","","","","02340001","WING NUT  1/4""","בורג פרפר  ""1/4","Active",2
"","","","","","","02310054","SPRING WASHER 8MM","שייבה קפיצית  8מ""מ","Active",8
"","","","","","","02340188","FIX. TROUGHT SUPPORT FOR  HOPPER/MINI-HOPPER ONE LINE W/O TRACTION SET","FIX. TROUGHT SUPPORT FOR  HOPPER/MINI-HOPPER ONE LINE W/O TRACTION SET","Active",2
"","","","","","","02340173","DOUBLE FEED LEVEL PLATE HOPPER/MINI-HOPPER W/O TRACTION SET","DOUBLE FEED LEVEL PLATE HOPPER/MINI-HOPPER W/O TRACTION SET","Active",1
"","","","","","","02340174","MINI-HOPPER REINFORC W/O TRACTION SET","MINI-HOPPER REINFORC W/O TRACTION SET","Active",2
"","","","","","","02340175","CARRIAGE BOLT 1/4X3/4"" BICROM.","CARRIAGE BOLT 1/4X3/4"" BICROM.","Active",2
"","","","","","","02340176","BOLT HEXAGONAL HEAD 5/16""X3/4"" ZINC.","BOLT HEXAGONAL HEAD 5/16""X3/4"" ZINC.","Active",8
"","","","","","","02340189","ONE LINE MINI-HOPPER PANEL W/O TRACTION SET","ONE LINE MINI-HOPPER PANEL W/O TRACTION SET","Active",2
"","","","","","","02340181","HOPPER/MINI-HOPPER LEG INSIDE GUIDE W/O TRACTION SET","HOPPER/MINI-HOPPER LEG INSIDE GUIDE W/O TRACTION SET","Active",4
"","","","","","","02340192","ONE LINE MINI-HOPPER LOWER W/O TRACTION SET","ONE LINE MINI-HOPPER LOWER W/O TRACTION SET","Active",1
"","","","","","","02340161","LEG SET HOPPER/MINI-HOPPER W/O TRACTION SET","LEG SET HOPPER/MINI-HOPPER W/O TRACTION SET","Active",4
"","","","","","","02340091","LABEL PVC STICKER IDENTIFICATION LEVEL","מדבקת זיהוי מאביס שרשרת אוטומטי","Active",1
"","","","","","","02340566","SINGLE RIGHT FEED RETURN WHEEL SET FOR HOPPER/MINI-HOPPER W/O TRACTION (MODEL PLAST.) SET","SINGLE RIGHT FEED RETURN WHEEL SET FOR HOPPER/MINI-HOPPER W/O TRACTION (MODEL PLAST.) SET","Active",1
"","","","","","","02340565","SIDE W/ COVER SET FOR ONE LINE MINI-HOPPER W/O TRACTION SET","SIDE W/ COVER SET FOR ONE LINE MINI-HOPPER W/O TRACTION SET","Active",2
"","","","","","","02340567","DIVISION W/ COVER SET FOR ONE LINE MINI-HOPPER W/O TRACTION SET","DIVISION W/ COVER SET FOR ONE LINE MINI-HOPPER W/O TRACTION SET","Active",1
"","","","","","","02340568","HANDLER SET FOR ONE LINE MINI-HOPPER W/O TRACTION SET","HANDLER SET FOR ONE LINE MINI-HOPPER W/O TRACTION SET","Active",2
"","","","","PLS","Primary","02340087","IDENTIFICATION HOPPER PLATE","מדבקת זיהוי להופר שרשרת","Inactive",1
"","","","","","","02340043","NUT 1/4""(8.8)","אום משושה 1/4""(8.8)","Inactive",8
"","","","","","","02340042","SCREW 1/4"" × 1/2"" (8.8)","בורג ""1/4×""1/2 (8.8)","Inactive",8
"","","","","","","02340032","NUT 5/16""","אום 5/16""","Inactive",8
"","","","","","","02340021","BOLT HEXAGONAL HEAD 1/4""-1/2""","בורג משושה ""1/2-1/4","Inactive",68
"","","","","","","02340005","SPRING  WASHER 1/4""","שייבה קפיצית  1/4""","Inactive",76
"","","","","","","02340004","NUT  1/4""","אום  משושה ""1/4","Inactive",68
"","","","","","","02340002","FLAT WASHER 1/4""","שייבה שטוחה ""1/4","Active",2
"","","","","","","02340001","WING NUT  1/4""","בורג פרפר  ""1/4","Inactive",2
"","","","","","","02310054","SPRING WASHER 8MM","שייבה קפיצית  8מ""מ","Active",8
"","","","","","","02340188","FIX. TROUGHT SUPPORT FOR  HOPPER/MINI-HOPPER ONE LINE W/O TRACTION SET","FIX. TROUGHT SUPPORT FOR  HOPPER/MINI-HOPPER ONE LINE W/O TRACTION SET","Active",2
"","","","","","","02340173","DOUBLE FEED LEVEL PLATE HOPPER/MINI-HOPPER W/O TRACTION SET","DOUBLE FEED LEVEL PLATE HOPPER/MINI-HOPPER W/O TRACTION SET","Active",1
"","","","","","","02340174","MINI-HOPPER REINFORC W/O TRACTION SET","MINI-HOPPER REINFORC W/O TRACTION SET","Active",2
"","","","","","","02340175","CARRIAGE BOLT 1/4X3/4"" BICROM.","CARRIAGE BOLT 1/4X3/4"" BICROM.","Active",2
"","","","","","","02340176","BOLT HEXAGONAL HEAD 5/16""X3/4"" ZINC.","BOLT HEXAGONAL HEAD 5/16""X3/4"" ZINC.","Active",8
"","","","","","","02340189","ONE LINE MINI-HOPPER PANEL W/O TRACTION SET","ONE LINE MINI-HOPPER PANEL W/O TRACTION SET","Active",2
"","","","","","","02340181","HOPPER/MINI-HOPPER LEG INSIDE GUIDE W/O TRACTION SET","HOPPER/MINI-HOPPER LEG INSIDE GUIDE W/O TRACTION SET","Active",4
"","","","","","","02340192","ONE LINE MINI-HOPPER LOWER W/O TRACTION SET","ONE LINE MINI-HOPPER LOWER W/O TRACTION SET","Active",1
"","","","","","","02340161","LEG SET HOPPER/MINI-HOPPER W/O TRACTION SET","LEG SET HOPPER/MINI-HOPPER W/O TRACTION SET","Active",4
"","","","","","","02340091","LABEL PVC STICKER IDENTIFICATION LEVEL","מדבקת זיהוי מאביס שרשרת אוטומטי","Active",1
"","","","","","","02340566","SINGLE RIGHT FEED RETURN WHEEL SET FOR HOPPER/MINI-HOPPER W/O TRACTION (MODEL PLAST.) SET","SINGLE RIGHT FEED RETURN WHEEL SET FOR HOPPER/MINI-HOPPER W/O TRACTION (MODEL PLAST.) SET","Active",1
"","","","","","","02340565","SIDE W/ COVER SET FOR ONE LINE MINI-HOPPER W/O TRACTION SET","SIDE W/ COVER SET FOR ONE LINE MINI-HOPPER W/O TRACTION SET","Active",2
"","","","","","","02340567","DIVISION W/ COVER SET FOR ONE LINE MINI-HOPPER W/O TRACTION SET","DIVISION W/ COVER SET FOR ONE LINE MINI-HOPPER W/O TRACTION SET","Active",1
"","","","","","","02340568","HANDLER SET FOR ONE LINE MINI-HOPPER W/O TRACTION SET","HANDLER SET FOR ONE LINE MINI-HOPPER W/O TRACTION SET","Active",2
"02340193","ONE LINE 40KG (60L) MINI-HOPPER BODY SET W/ DRAWER REGULATOR W/O TRACTION SET","ONE LINE 40KG (60L) MINI-HOPPER BODY SET W/ DRAWER REGULATOR W/O TRACTION SET","Active","MST","Primary","02340091","LABEL PVC STICKER IDENTIFICATION LEVEL","מדבקת זיהוי מאביס שרשרת אוטומטי","Active",1
"","","","","","","02340087","IDENTIFICATION HOPPER PLATE","מדבקת זיהוי להופר שרשרת","Active",1
"","","","","","","02340043","NUT 1/4""(8.8)","אום משושה 1/4""(8.8)","Active",8
"","","","","","","02340042","SCREW 1/4"" × 1/2"" (8.8)","בורג ""1/4×""1/2 (8.8)","Active",8
"","","","","","","02340032","NUT 5/16""","אום 5/16""","Active",8
"","","","","","","02340021","BOLT HEXAGONAL HEAD 1/4""-1/2""","בורג משושה ""1/2-1/4","Active",72
"","","","","","","02340005","SPRING  WASHER 1/4""","שייבה קפיצית  1/4""","Active",80
"","","","","","","02340004","NUT  1/4""","אום  משושה ""1/4","Active",72
"","","","","","","02340002","FLAT WASHER 1/4""","שייבה שטוחה ""1/4","Active",2
"","","","","","","02340001","WING NUT  1/4""","בורג פרפר  ""1/4","Active",2
"","","","","","","02310212","EYE BOLT 8MM.","בורג עין 8 מ""מ","Active",1
"","","","","","","02310054","SPRING WASHER 8MM","שייבה קפיצית  8מ""מ","Active",9
"","","","","","","02310053","NUT 8MM","אום משושה 8 מ""מ","Active",1
"","","","","","","02310022","""S"" HOOK 3/16""X2""(4.8X50)","(4.8X50) 3/16""x2""  ""S"" וו","Active",1
"","","","","","","02340188","FIX. TROUGHT SUPPORT FOR  HOPPER/MINI-HOPPER ONE LINE W/O TRACTION SET","FIX. TROUGHT SUPPORT FOR  HOPPER/MINI-HOPPER ONE LINE W/O TRACTION SET","Active",2
"","","","","","","02340173","DOUBLE FEED LEVEL PLATE HOPPER/MINI-HOPPER W/O TRACTION SET","DOUBLE FEED LEVEL PLATE HOPPER/MINI-HOPPER W/O TRACTION SET","Active",1
"","","","","","","02340174","MINI-HOPPER REINFORC W/O TRACTION SET","MINI-HOPPER REINFORC W/O TRACTION SET","Active",2
"","","","","","","02340175","CARRIAGE BOLT 1/4X3/4"" BICROM.","CARRIAGE BOLT 1/4X3/4"" BICROM.","Active",2
"","","","","","","02340176","BOLT HEXAGONAL HEAD 5/16""X3/4"" ZINC.","BOLT HEXAGONAL HEAD 5/16""X3/4"" ZINC.","Active",8
"","","","","","","02340194","LEFT PANEL DRAWER REGULATOR ONE LINE MINI-HOPPER W/O TRACTION SET","LEFT PANEL DRAWER REGULATOR ONE LINE MINI-HOPPER W/O TRACTION SET","Active",1
"","","","","","","02340195","RIGHT PANEL DRAWER REGULATOR ONE LINE MINI-HOPPER W/O TRACTION SET","RIGHT PANEL DRAWER REGULATOR ONE LINE MINI-HOPPER W/O TRACTION SET","Active",1
"","","","","","","02340196","SIDE DRAWER REGULATOR ONE LINE MINI-HOPPER W/O TRACTION SET","SIDE DRAWER REGULATOR ONE LINE MINI-HOPPER W/O TRACTION SET","Active",1
"","","","","","","02340191","ONE LINE MINI-HOPPER SIDE W/O TRACTION SET","ONE LINE MINI-HOPPER SIDE W/O TRACTION SET","Active",1
"","","","","","","02340181","HOPPER/MINI-HOPPER LEG INSIDE GUIDE W/O TRACTION SET","HOPPER/MINI-HOPPER LEG INSIDE GUIDE W/O TRACTION SET","Active",4
"","","","","","","02340197","RIGHT GUIDE SHUT OFF DRAWER ONE LINE MINI-HOPPER W/O TRACTION SET","RIGHT GUIDE SHUT OFF DRAWER ONE LINE MINI-HOPPER W/O TRACTION SET","Active",1
"","","","","","","02340198","LEFT GUIDE SHUT OFF DRAWER ONE LINE MINI-HOPPER W/O TRACTION SET","LEFT GUIDE SHUT OFF DRAWER ONE LINE MINI-HOPPER W/O TRACTION SET","Active",1
"","","","","","","02340199","MINI-HOPPER W/O TRACTION SET SHUT OFF DRAWER","MINI-HOPPER W/O TRACTION SET SHUT OFF DRAWER","Active",1
"","","","","","","02340192","ONE LINE MINI-HOPPER LOWER W/O TRACTION SET","ONE LINE MINI-HOPPER LOWER W/O TRACTION SET","Active",1
"","","","","","","02340183","SINGLE RIGHT FEED RETURN WHEEL SET FOR HOPPER/MINI-HOPPER W/O TRACTION SET","SINGLE RIGHT FEED RETURN WHEEL SET FOR HOPPER/MINI-HOPPER W/O TRACTION SET","Active",1
"","","","","","","02340161","LEG SET HOPPER/MINI-HOPPER W/O TRACTION SET","LEG SET HOPPER/MINI-HOPPER W/O TRACTION SET","Active",4
"","","","","PLS","Primary","02340091","LABEL PVC STICKER IDENTIFICATION LEVEL","מדבקת זיהוי מאביס שרשרת אוטומטי","Active",1
"","","","","","","02340087","IDENTIFICATION HOPPER PLATE","מדבקת זיהוי להופר שרשרת","Inactive",1
"","","","","","","02340043","NUT 1/4""(8.8)","אום משושה 1/4""(8.8)","Inactive",8
"","","","","","","02340042","SCREW 1/4"" × 1/2"" (8.8)","בורג ""1/4×""1/2 (8.8)","Inactive",8
"","","","","","","02340032","NUT 5/16""","אום 5/16""","Inactive",8
"","","","","","","02340021","BOLT HEXAGONAL HEAD 1/4""-1/2""","בורג משושה ""1/2-1/4","Inactive",72
"","","","","","","02340005","SPRING  WASHER 1/4""","שייבה קפיצית  1/4""","Inactive",80
"","","","","","","02340004","NUT  1/4""","אום  משושה ""1/4","Inactive",72
"","","","","","","02340002","FLAT WASHER 1/4""","שייבה שטוחה ""1/4","Active",2
"","","","","","","02340001","WING NUT  1/4""","בורג פרפר  ""1/4","Inactive",2
"","","","","","","02310212","EYE BOLT 8MM.","בורג עין 8 מ""מ","Inactive",1
"","","","","","","02310054","SPRING WASHER 8MM","שייבה קפיצית  8מ""מ","Active",9
"","","","","","","02310053","NUT 8MM","אום משושה 8 מ""מ","Active",1
"","","","","","","02310022","""S"" HOOK 3/16""X2""(4.8X50)","(4.8X50) 3/16""x2""  ""S"" וו","Active",1
"","","","","","","02340188","FIX. TROUGHT SUPPORT FOR  HOPPER/MINI-HOPPER ONE LINE W/O TRACTION SET","FIX. TROUGHT SUPPORT FOR  HOPPER/MINI-HOPPER ONE LINE W/O TRACTION SET","Active",2
"","","","","","","02340173","DOUBLE FEED LEVEL PLATE HOPPER/MINI-HOPPER W/O TRACTION SET","DOUBLE FEED LEVEL PLATE HOPPER/MINI-HOPPER W/O TRACTION SET","Active",1
"","","","","","","02340174","MINI-HOPPER REINFORC W/O TRACTION SET","MINI-HOPPER REINFORC W/O TRACTION SET","Active",2
"","","","","","","02340175","CARRIAGE BOLT 1/4X3/4"" BICROM.","CARRIAGE BOLT 1/4X3/4"" BICROM.","Active",2
"","","","","","","02340176","BOLT HEXAGONAL HEAD 5/16""X3/4"" ZINC.","BOLT HEXAGONAL HEAD 5/16""X3/4"" ZINC.","Active",8
"","","","","","","02340194","LEFT PANEL DRAWER REGULATOR ONE LINE MINI-HOPPER W/O TRACTION SET","LEFT PANEL DRAWER REGULATOR ONE LINE MINI-HOPPER W/O TRACTION SET","Active",1
"","","","","","","02340195","RIGHT PANEL DRAWER REGULATOR ONE LINE MINI-HOPPER W/O TRACTION SET","RIGHT PANEL DRAWER REGULATOR ONE LINE MINI-HOPPER W/O TRACTION SET","Active",1
"","","","","","","02340196","SIDE DRAWER REGULATOR ONE LINE MINI-HOPPER W/O TRACTION SET","SIDE DRAWER REGULATOR ONE LINE MINI-HOPPER W/O TRACTION SET","Active",1
"","","","","","","02340191","ONE LINE MINI-HOPPER SIDE W/O TRACTION SET","ONE LINE MINI-HOPPER SIDE W/O TRACTION SET","Active",1
"","","","","","","02340181","HOPPER/MINI-HOPPER LEG INSIDE GUIDE W/O TRACTION SET","HOPPER/MINI-HOPPER LEG INSIDE GUIDE W/O TRACTION SET","Active",4
"","","","","","","02340197","RIGHT GUIDE SHUT OFF DRAWER ONE LINE MINI-HOPPER W/O TRACTION SET","RIGHT GUIDE SHUT OFF DRAWER ONE LINE MINI-HOPPER W/O TRACTION SET","Active",1
"","","","","","","02340198","LEFT GUIDE SHUT OFF DRAWER ONE LINE MINI-HOPPER W/O TRACTION SET","LEFT GUIDE SHUT OFF DRAWER ONE LINE MINI-HOPPER W/O TRACTION SET","Active",1
"","","","","","","02340199","MINI-HOPPER W/O TRACTION SET SHUT OFF DRAWER","MINI-HOPPER W/O TRACTION SET SHUT OFF DRAWER","Active",1
"","","","","","","02340192","ONE LINE MINI-HOPPER LOWER W/O TRACTION SET","ONE LINE MINI-HOPPER LOWER W/O TRACTION SET","Active",1
"","","","","","","02340183","SINGLE RIGHT FEED RETURN WHEEL SET FOR HOPPER/MINI-HOPPER W/O TRACTION SET","SINGLE RIGHT FEED RETURN WHEEL SET FOR HOPPER/MINI-HOPPER W/O TRACTION SET","Active",1
"","","","","","","02340161","LEG SET HOPPER/MINI-HOPPER W/O TRACTION SET","LEG SET HOPPER/MINI-HOPPER W/O TRACTION SET","Active",4
"02340200","TWO LINE TWO WAY 45KG (70L) MINI-HOPPER BODY SET W/DRAWER REGULATOR W/O TRACTION SET","TWO LINE TWO WAY 45KG (70L) MINI-HOPPER BODY SET W/DRAWER REGULATOR W/O TRACTION SET","Active","MST","Primary","02340091","LABEL PVC STICKER IDENTIFICATION LEVEL","מדבקת זיהוי מאביס שרשרת אוטומטי","Active",2
"","","","","","","02340087","IDENTIFICATION HOPPER PLATE","מדבקת זיהוי להופר שרשרת","Active",1
"","","","","","","02340043","NUT 1/4""(8.8)","אום משושה 1/4""(8.8)","Active",8
"","","","","","","02340042","SCREW 1/4"" × 1/2"" (8.8)","בורג ""1/4×""1/2 (8.8)","Active",8
"","","","","","","02340032","NUT 5/16""","אום 5/16""","Active",8
"","","","","","","02340021","BOLT HEXAGONAL HEAD 1/4""-1/2""","בורג משושה ""1/2-1/4","Active",72
"","","","","","","02340005","SPRING  WASHER 1/4""","שייבה קפיצית  1/4""","Active",80
"","","","","","","02340004","NUT  1/4""","אום  משושה ""1/4","Active",72
"","","","","","","02340002","FLAT WASHER 1/4""","שייבה שטוחה ""1/4","Active",4
"","","","","","","02340001","WING NUT  1/4""","בורג פרפר  ""1/4","Active",4
"","","","","","","02310212","EYE BOLT 8MM.","בורג עין 8 מ""מ","Active",1
"","","","","","","02310054","SPRING WASHER 8MM","שייבה קפיצית  8מ""מ","Active",9
"","","","","","","02310053","NUT 8MM","אום משושה 8 מ""מ","Active",1
"","","","","","","02310022","""S"" HOOK 3/16""X2""(4.8X50)","(4.8X50) 3/16""x2""  ""S"" וו","Active",1
