"
PLS_BOM_Reports / BOM components 2
Organization Code Parameter: 'PLS, MST', Assembly Item Parameter: '02%'"

"Assembly Number","Assembly Description","Assembly Hebrew Description","Assembly Status Code","ORG","Bom Name","Component Number","Component Description","Component Hebrew Description","Component Status Code","Component Quantity"
"02100029","LOWER SADDLE BODY FOR B.DRINKER","גוף רוכב תחתון לשוקת","Active","MST","Primary","00004020","NOVOLEN PP 1022 / Hostalen PPH 1022 BL(supplier description)","PP 1022   שחור","Active",0.0063
"","","","","PLS","Primary","00004020","NOVOLEN PP 1022 / Hostalen PPH 1022 BL(supplier description)","PP 1022   שחור","Active",0.0063
"02100030","SADDLE CONNECTOR FOR DRINKER","רוכב רגיל לשוקת קומפלט","Active","MST","Primary","02100027","WASHER FOR SADDLE/B.DRINKER  P-16",".גומיה 16 לרוכב שוקת P16","Active",1
"","","","","","","02100029","LOWER SADDLE BODY FOR B.DRINKER","גוף רוכב תחתון לשוקת","Active",1
"","","","","","","02100034","SCREW FOR SADDLE CONNECTOR","בורג לרוכב רגיל","Active",2
"","","","","","","02100035","UPPER HALF OF REGULAR SADDLE CONNECTOR","חלק עליון -לרוכב רגיל","Active",1
"","","","","","","02100045","STRIP FOR SADDLE CONNECTOR.","רצועה לרוכב רגיל.","Active",1
"","","","","","","02100046","PLUG FOR SADDLE CONNECTOR - REGULAR.","פקק לרוכב רגיל.","Active",1
"","","","","PLS","Primary","02100027","WASHER FOR SADDLE/B.DRINKER  P-16",".גומיה 16 לרוכב שוקת P16","Active",1
"","","","","","","02100029","LOWER SADDLE BODY FOR B.DRINKER","גוף רוכב תחתון לשוקת","Active",1
"","","","","","","02100034","SCREW FOR SADDLE CONNECTOR","בורג לרוכב רגיל","Active",2
"","","","","","","02100035","UPPER HALF OF REGULAR SADDLE CONNECTOR","חלק עליון -לרוכב רגיל","Active",1
"","","","","","","02100045","STRIP FOR SADDLE CONNECTOR.","רצועה לרוכב רגיל.","Active",1
"","","","","","","02100046","PLUG FOR SADDLE CONNECTOR - REGULAR.","פקק לרוכב רגיל.","Active",1
"02100031","REDUCER 1/2-1/4","ניפל מעבר 1/2-1/4","Active","MST","ALT01","00004020","NOVOLEN PP 1022 / Hostalen PPH 1022 BL(supplier description)","PP 1022   שחור","Active",0.00995
"","","","","","Primary","00004201","PP natural+black (419+4014)","PP natural+black (419+4014)","Active",0.00987
"","","","","PLS","ALT01","00004020","NOVOLEN PP 1022 / Hostalen PPH 1022 BL(supplier description)","PP 1022   שחור","Active",0.00995
"","","","","","Primary","00004201","PP natural+black (419+4014)","PP natural+black (419+4014)","Active",0.00987
"02100032","TEE 1/4-1/4-1/4"" FOR DRINKER","T 1/4-1/4-1/4 לשוקת","Active","MST","Primary","00004020","NOVOLEN PP 1022 / Hostalen PPH 1022 BL(supplier description)","PP 1022   שחור","Active",0.0065
"","","","","PLS","Primary","00004020","NOVOLEN PP 1022 / Hostalen PPH 1022 BL(supplier description)","PP 1022   שחור","Active",0.0065
"02100033","NOT ACTIVE - TEE 1/4-1/2""-1/4 FOR DRINKER","NOT ACTIVE - T 1/4-1/2-1/4 לשוקת","Inactive","MST","ALT01","00004020","NOVOLEN PP 1022 / Hostalen PPH 1022 BL(supplier description)","PP 1022   שחור","Active",0.0128
"","","","","","Primary","00004201","PP natural+black (419+4014)","PP natural+black (419+4014)","Active",0.013
"","","","","PLS","ALT01","00004020","NOVOLEN PP 1022 / Hostalen PPH 1022 BL(supplier description)","PP 1022   שחור","Active",0.0128
"","","","","","Primary","00004201","PP natural+black (419+4014)","PP natural+black (419+4014)","Active",0.013
"02100034","SCREW FOR SADDLE CONNECTOR","בורג לרוכב רגיל","Active","MST","ALT01","00005228","IUPITAL F 020-03 CH","C H 020-03 F  IUPITAL","Active",0.0067
"","","","","","","00000521","MB. POLYRAM FOR ACETAL","MB לאצטל שחור פולירם","Active",0.0002
"","","","","","ALT02","00000521","MB. POLYRAM FOR ACETAL","MB לאצטל שחור פולירם","Active",0.0002
"","","","","","","00005237","POM AMCEL KP 20","AC 20KP AMCEL  מטיקונה (F20)","Active",0.0067
"","","","","","Primary","00005220","ACETAL F20 PM7109 BK11M","אצטל שחור F20  PM7109BK11M","Active",0.0069
"","","","","PLS","ALT01","00005228","IUPITAL F 020-03 CH","C H 020-03 F  IUPITAL","Active",0.0067
"","","","","","","00000521","MB. POLYRAM FOR ACETAL","MB לאצטל שחור פולירם","Active",0.0002
"","","","","","Primary","00005220","ACETAL F20 PM7109 BK11M","אצטל שחור F20  PM7109BK11M","Active",0.0069
